id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
83,2024-02-16 03:30:22.515156,4.4,3.2,1.3,0.2,0
82,2024-02-16 03:30:21.511856,6.8,3.0,5.5,2.1,2
81,2024-02-16 03:30:20.508471,6.0,3.4,4.5,1.6,1
80,2024-02-16 03:30:19.505339,6.3,2.5,5.0,1.9,2
79,2024-02-16 03:30:18.502206,6.5,3.2,5.1,2.0,2
78,2024-02-16 03:30:17.499006,6.0,3.0,4.8,1.8,2
77,2024-02-16 03:30:16.495658,4.9,3.1,1.5,0.1,0
76,2024-02-16 03:30:15.492516,6.1,3.0,4.6,1.4,1
75,2024-02-16 03:30:14.489290,6.2,2.8,4.8,1.8,2
74,2024-02-16 03:30:13.486139,6.5,3.2,5.1,2.0,2
73,2024-02-16 03:30:12.482721,5.9,3.0,4.2,1.5,1
